,sum_tx_ether,avg_tx_gas_cost,tx_date
701,1267637.8917653624,0.00039749428064138353,2019-12-03
702,1392485.0849867233,0.000403233069744021,2019-12-04
703,1373198.4571977977,0.0003634101431342016,2019-12-05
704,1408016.0070540374,0.000354666603187866,2019-12-06
705,753111.919988481,0.00031834866230750467,2019-12-07
706,554146.8189786223,0.0002520669782140907,2019-12-08
707,1141349.7223102697,0.00028878683466204745,2019-12-09
708,1553897.163478618,0.00032013130942604986,2019-12-10
709,889498.1308927283,0.0004994722126296802,2019-12-11
710,1179258.235636606,0.0003801240662683935,2019-12-12
711,1091153.0162053017,0.0003773463249754175,2019-12-13
712,796394.8536437623,0.00039196136276194805,2019-12-14
713,649297.7658835687,0.0004026457888522428,2019-12-15
714,1554782.2614391698,0.0004013347890658431,2019-12-16
715,2663373.3094884655,0.0004521433674295238,2019-12-17
716,3064677.9528555595,0.0005602931936871644,2019-12-18
717,3267441.9058373384,0.0004016532904565155,2019-12-19
718,1354526.971401833,0.0003851083699292994,2019-12-20
719,845500.9514564984,0.00036109476099949227,2019-12-21
720,806616.5730701815,0.00036636810041527657,2019-12-22
721,1808351.866837205,0.00039674688549175583,2019-12-23
722,1210610.1465240133,0.0003877738433443878,2019-12-24
723,1456018.507530071,0.00041691059036092794,2019-12-25
724,1162588.9901930194,0.00036829115927699776,2019-12-26
725,1257134.660749475,0.00034494827986403877,2019-12-27
726,986389.8647375384,0.0003252411437988808,2019-12-28
727,1018138.5712748093,0.0003205209592448243,2019-12-29
728,1454101.6114210144,0.00031253233027309736,2019-12-30
729,2072293.1388400292,0.00044009236636381,2019-12-31
730,615945.1746181983,0.0003221239333858555,2020-01-01
731,1116111.0052661258,0.0003009838075835408,2020-01-02
732,1851024.1557025576,0.0003010837880111897,2020-01-03
733,1131728.9015479595,0.00024710760984552303,2020-01-04
734,898623.7294843481,0.0002609027622378741,2020-01-05
735,1640589.9193963704,0.0002986496407929496,2020-01-06
736,1401854.3008760882,0.00031569310409379486,2020-01-07
737,1935802.1959803267,0.0003280372516511946,2020-01-08
738,1338017.2410162769,0.0003161309868603127,2020-01-09
739,1317911.0795866284,0.00035966257836258185,2020-01-10
740,1350201.807252517,0.0003322947036252184,2020-01-11
741,993134.8476985977,0.0003344241468154401,2020-01-12
742,1431032.847805489,0.0003232125299487295,2020-01-13
743,2592015.4735734095,0.0005606193630360802,2020-01-14
744,2087704.206813332,0.0003289651234713095,2020-01-15
745,1686739.402658158,0.0002704479045762074,2020-01-16
746,1581878.3757352608,0.0003314504780096493,2020-01-17
747,1705275.7005711603,0.0003086424349539028,2020-01-18
748,1180124.0706951846,0.0003003743697480478,2020-01-19
749,1057091.8551655558,0.00029671449207789347,2020-01-20
750,984609.7482206777,0.00028111032427997326,2020-01-21
751,921527.2900322777,0.0002878087645473468,2020-01-22
752,1113074.704317865,0.0002561276141430397,2020-01-23
753,1499031.5258171465,0.000303423881965674,2020-01-24
754,449222.7329117609,0.0002461092173061727,2020-01-25
755,613717.0194797128,0.0002654004328318036,2020-01-26
756,1079732.3762448758,0.0002767652777181747,2020-01-27
757,1188144.0609250693,0.0002839903954522599,2020-01-28
758,1263752.1793992056,0.0002816243760552074,2020-01-29
759,1357192.644276162,0.00030412815683633144,2020-01-30
760,1912738.4271438315,0.00030223933360655925,2020-01-31
761,1094187.1620929237,0.00030032355812382154,2020-02-01
762,1098241.6858809502,0.00027442602078055184,2020-02-02
763,1315653.02395709,0.0002756923895500158,2020-02-03
764,1569184.1207087203,0.0003475849466488342,2020-02-04
765,1576955.6411639978,0.0003352085992973692,2020-02-05
766,2313353.902792935,0.0003907929483636862,2020-02-06
767,2406058.0732048987,0.00037159497347399775,2020-02-07
